"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q110","att_1","att_2","comp_1","comp_2","comp_3","words_1","level_1","level_2","hard_1_1","info_text","level_3","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","PROLIFIC_PID","clicked"
"2023-07-31 09:31:43","2023-07-31 09:43:37","0","Anonymized","100","714","1","2023-07-31 09:43:37","R_OkSmjUBLSANusXD","","","","","Anonymized","Anonymized","anonymous","EN","1","55d86f3569dbc30012b6869f","2","2","2","4","Locations","Tesla vision.
Autopilot.
Future of driving.
Advance sensor coverage.","2","","","","6","2","","4","","34","1","","2","9","55d86f3569dbc30012b6869f","1"
"2023-07-31 09:35:56","2023-07-31 09:45:21","0","Anonymized","100","565","1","2023-07-31 09:45:22","R_2Vf4ANHQk1r7Lxl","","","","","Anonymized","Anonymized","anonymous","EN","1","61251fec7300233c5d9c5f3a","2","2","2","4","It says privacy and legal at the bottom of mine","Future of driving, join the team ","1","6","18","On the page about autopilot ","","2","","3","","35","4","","2","15","61251fec7300233c5d9c5f3a","1"
"2023-07-31 09:34:24","2023-07-31 09:45:24","0","Anonymized","100","660","1","2023-07-31 09:45:24","R_2BwxbToHiZvBNow","","","","","Anonymized","Anonymized","anonymous","EN","1","64402f7ad3d019dc99b9f3f0","2","2","2","3","Locations","Very highly technological advances in tesla's self driving abilities. It has the ability to park itself and come get you with just the click of a button. ","1","2","47","Tesla autopilot tab but I really had to make an educated guess.","","1","","4","","22","1","","1","57","64402f7ad3d019dc99b9f3f0","1"
"2023-07-31 09:37:21","2023-07-31 09:45:37","0","Anonymized","100","496","1","2023-07-31 09:45:38","R_1oHcUMgVLmUsRQU","","","","","Anonymized","Anonymized","anonymous","EN","1","614cd1ce1f5a14aa71ec0504","2","2","1","4","Locations","Automated driving, home-charging, test drive locations, self steering, self navigating","2","","","","5","2","","3","","35","3","","1","50","614cd1ce1f5a14aa71ec0504","1"
"2023-07-31 09:32:06","2023-07-31 09:46:26","0","Anonymized","100","860","1","2023-07-31 09:46:26","R_qJWd5hAkWKNoXPH","","","","","Anonymized","Anonymized","anonymous","EN","1","5f0a5a99dbbf721316f118e2","2","2","2","4","Locations","Automatic navigation, get in the car and tell it where to go. If you don't say anything, the car will access your calendar and drive you to your assumed scheduled appointment. 360 camera. Front and rear collision detector. Join the team. Front camera, front side camera, rear camera, rear side camera. Summon your car. You auto steering for tricky curves. Your car will find you in a parking lot and in complex streets. Tesla car will find the best route to your destination. Phone data and third party permissions subject to change. Tesla uses standard connectivity at the minimum.","1","6","13","You would find it in the Autopilot webpage. The article I read repeatedly mentioned self-driving capabilities ","","2","","2","","26","4","","2","19","5f0a5a99dbbf721316f118e2","1"
"2023-07-31 09:25:39","2023-07-31 09:46:58","0","Anonymized","100","1279","1","2023-07-31 09:46:59","R_3D2zdwGOoFLPt33","","","","","Anonymized","Anonymized","anonymous","EN","1","5ac4fbad1667e40001d8615e","2","2","2","4","Locations","From Home, Smart Summon, Advanced Sensor Coverage, Future of Driving","1","2","51","The information is about halfway down the page on Tesla's website. It does not state specific levels. It says Autopilot requires driver supervision, so I think the level of Autopilot is Level 2.","","2","","3","","65","4","","1","20","5ac4fbad1667e40001d8615e","0"
"2023-07-31 09:31:22","2023-07-31 09:47:17","0","Anonymized","100","955","1","2023-07-31 09:47:17","R_8C9ytKaLoowmF4l","","","","","Anonymized","Anonymized","anonymous","EN","1","610f188b8ad0a93f6d508cad","2","2","2","4","Locations","Navigation, Autopilot, Smart Summon, 8 cameras, wireless connectivity, self-driving capability, more reliable than a human, Tesla, automatic route seeking, takes over-the-air updates","1","5","52","It mentions at multiple points what it's capable of, and near the middle of the page says that it's capable of driving by itself, but still isn't fully autonomous yet and requires human oversight. ","","2","","3","","28","3","","2","31","610f188b8ad0a93f6d508cad","1"
"2023-07-31 09:39:59","2023-07-31 09:48:05","0","Anonymized","100","486","1","2023-07-31 09:48:06","R_2D6zchMKB2vln2n","","","","","Anonymized","Anonymized","anonymous","EN","1","64776e3beba1085215214ec0","2","2","2","4","Locations","autopilot, smart, 250 meters, join the team, tesla","2","","","","6","2","","3","","50","5","","1","10","64776e3beba1085215214ec0","1"
"2023-07-31 09:33:20","2023-07-31 09:48:17","0","Anonymized","100","897","1","2023-07-31 09:48:18","R_3GdfhW3V9W0rRY2","","","","","Anonymized","Anonymized","anonymous","EN","1","5e8b414388ac1c80052bf196","2","2","2","4","Locations","autopilot future driving vision navigate summon autosteer ","2","","","","2","1","","3","","29","5","","1","38","5e8b414388ac1c80052bf196","1"
"2023-07-31 09:31:43","2023-07-31 09:48:43","0","Anonymized","100","1019","1","2023-07-31 09:48:43","R_R5qiNswYxMuz4e5","","","","","Anonymized","Anonymized","anonymous","EN","1","60a3128cb035414bb4588090","2","2","1","2","Locations","1. driving
2. auto-pilot
3. self-driving
4. response
5.safe","2","","","","3","3","","7","","22","1","","2","21","60a3128cb035414bb4588090","1"
"2023-07-31 09:35:56","2023-07-31 09:48:59","0","Anonymized","100","783","1","2023-07-31 09:49:00","R_2WUaCqxetC6hDX2","","","","","Anonymized","Anonymized","anonymous","EN","1","63069f3f6ec1f54f62f6876d","2","2","2","4","Locations","Full self-driving capability.  Navigating with autopilot.","2","","","","5","1","","3","","37","4","","1","60","63069f3f6ec1f54f62f6876d","1"
"2023-07-31 09:37:55","2023-07-31 09:50:11","0","Anonymized","100","736","1","2023-07-31 09:50:12","R_2e4CCd2m6TPjRKE","","","","","Anonymized","Anonymized","anonymous","EN","1","5fdd6ae284b3a9449c87a064","2","2","2","4","Locations","Tesla wants to enhance the driving experience for its consumers with an autopilot AI system that will handle steering, parking, driving long and short distances, and more. These autopilot cars give the driver the option for full control of the vehicle, or give some or full control to its AI software. One of its main features for its fully autopilot system is that the car can park itself in a lot, in case the owner is in a hurry. Also, if the driver comes in the vehicle without telling the car where to go, the vehicle can automatically search through the owners digital calendar to see where the destination is.","1","4","15","I found the levels in the middle and bottom of the website.","","2","","2","","33","4","","1","6","5fdd6ae284b3a9449c87a064","1"
"2023-07-31 09:42:05","2023-07-31 09:51:07","0","Anonymized","100","541","1","2023-07-31 09:51:07","R_PzAiUWSPU5vzpqp","","","","","Anonymized","Anonymized","anonymous","EN","1","63fcde3494055a563c72cb12","2","2","2","4","Locations","that it can see the environment better than a human can
you can summon it with your phone
deep neural network, 40x processing power
","2","","","","5","2","","3","","75","1","","1","19","63fcde3494055a563c72cb12","1"
"2023-07-31 09:41:10","2023-07-31 09:51:21","0","Anonymized","100","611","1","2023-07-31 09:51:22","R_1QtQvoLwGl7rkUp","","","","","Anonymized","Anonymized","anonymous","EN","1","6440ff579347d8f75783b52d","2","2","2","4","Locations","Self-Driving, Automation, Smart Summon, i can't remember more","1","6","10","just had to scroll down on the page","","1","","3","","30","3","","2","20","6440ff579347d8f75783b52d","0"
"2023-07-31 09:29:54","2023-07-31 09:51:36","0","Anonymized","100","1301","1","2023-07-31 09:51:36","R_2c8cdWaZMtlUFlu","","","","","Anonymized","Anonymized","anonymous","EN","1","5f4df2b4bdb2449bd751ce51","2","1","2","2","Locations","The important thing about this car is that it will take you to the right place even if you do not tell it by voice once you get into the car, since you have already indicated your daily route through the calendar.","2","","","","6","1","","3","","37","4","","1","70","5f4df2b4bdb2449bd751ce51","1"
"2023-07-31 09:28:07","2023-07-31 09:51:52","0","Anonymized","100","1425","1","2023-07-31 09:51:52","R_1C2zoxS8oEx252Y","","","","","Anonymized","Anonymized","anonymous","EN","1","5b133bba30d562000155dc2e","2","1","2","4","Locations","future 
forward looking
autopilot
self-driving
advanced sensor
camera
processing power
vision
autosteer
smart summon
automatic emergency braking
auto high beams
safety","1","2","40","The Autopilot description said that it allowed your car to steer, accelerate and brake automatically, but
that the feature also required an active driver to supervise those actions. From that description it sounded like the vehicle type was most likely 2.","","2","","3","","45","4","","1","10","5b133bba30d562000155dc2e","1"
"2023-07-31 09:29:03","2023-07-31 09:51:52","0","Anonymized","100","1368","1","2023-07-31 09:51:52","R_3qV8mFyk0qjfe7E","","","","","Anonymized","Anonymized","anonymous","EN","1","6267c3d17f88988d0d787c7f","2","2","2","4","Locations","Autopilot, home, history","1","6","72","End","","1","","2","","51","4","","1","50","6267c3d17f88988d0d787c7f","1"
"2023-07-31 09:43:22","2023-07-31 09:53:20","0","Anonymized","100","597","1","2023-07-31 09:53:21","R_3lXG6CEKMu3wDyg","","","","","Anonymized","Anonymized","anonymous","EN","1","5d9be99fdacf6100182bf254","2","2","2","2","locations","autopilot ","2","","","","3","1","","3","","36","1","","2","0","5d9be99fdacf6100182bf254","1"
"2023-07-31 09:35:04","2023-07-31 09:53:44","0","Anonymized","100","1120","1","2023-07-31 09:53:45","R_12hFT90Ce0ZXvFb","","","","","Anonymized","Anonymized","anonymous","EN","1","5ef7bc9de683904f56114114","2","2","2","4","locations","surround vision, automatic braking, summons, come to you, automatic parking, checks your calendar and drives you there.  Makes assumptions unless you talk to it.  Navigates obstacles to find you in a parking lot. Senses traffic patterns and puts you in the lane to avoid slower moving vehicles.","1","6","50","It was explained in text, showing that you can use more and more of the features.","","2","","3","","65","5","","1","19","5ef7bc9de683904f56114114","1"
"2023-07-31 09:41:31","2023-07-31 09:53:46","0","Anonymized","100","734","1","2023-07-31 09:53:47","R_8oHbCJBHa9FDi8h","","","","","Anonymized","Anonymized","anonymous","EN","1","5f48e3d7f998433ac6356ad4","2","2","2","4","Locations","autonomous, 360 degree camera, all directions, neural; network, 40x the data we can see, process information from all directions all at once. your car will self park after reaching destination once you exit, press a button and your car will retrieve you, if you dont give your car directions, it will check your calendar and automatically drive you to your destination.","1","6","50","Throughout the text","","2","","3","","65","6","","1","10","5f48e3d7f998433ac6356ad4","1"
"2023-07-31 09:44:01","2023-07-31 09:53:57","0","Anonymized","100","596","1","2023-07-31 09:53:58","R_Ug7YckbrmWGLlhD","","","","","Anonymized","Anonymized","anonymous","EN","1","6237de9b86943b2c0aa752aa","2","2","2","4","Locations","Tesla Autopilot camera AI Join the team Future advanced","1","5","75","There was videos and a link","","1","","3","","40","5","","1","61","6237de9b86943b2c0aa752aa","1"
"2023-07-31 09:40:33","2023-07-31 09:54:47","0","Anonymized","100","854","1","2023-07-31 09:54:48","R_10ZqNzA4v53bNCu","","","","","Anonymized","Anonymized","anonymous","EN","1","5e121701dc79bd8a1a22ca99","2","2","2","4","locations","Model S, Model , Model 3 Model X and Model Y.  There was also an inventory page if you did not like the customize options.  There were areas that showed pictures of each car and interior.  It also had charging information.  A description of the Tesla company and what they were about on the home page.","2","","","","4","2","","3","","53","3","","1","75","5e121701dc79bd8a1a22ca99","1"
"2023-07-31 09:40:03","2023-07-31 09:55:30","0","Anonymized","100","926","1","2023-07-31 09:55:30","R_2CfhMbzNFWDkPtl","","","","","Anonymized","Anonymized","anonymous","EN","1","60edac884fef13c0b0660daf","2","2","2","4","Locations","future of driving, advanced sensors, cameras, processing, self-driving, autopilot, join the team ","1","2","69","I believe this information was found in the auto- pilot section of the website. ","","2","","3","","39","1","","1","12","60edac884fef13c0b0660daf","1"
"2023-07-31 09:44:30","2023-07-31 09:55:31","0","Anonymized","100","661","1","2023-07-31 09:55:32","R_1PTsxdb4m4ZULwU","","","","","Anonymized","Anonymized","anonymous","EN","1","62dee5f2ad4598079383a5aa","2","2","2","4","Locations","Future, advanced sensors, cameras, processing power, navigation, vision, self driving, summoning, self parking, calendar. ","1","6","80","Toward the bottom.","","2","","3","","65","4","","1","60","62dee5f2ad4598079383a5aa","1"
"2023-07-31 09:45:01","2023-07-31 09:55:33","0","Anonymized","100","631","1","2023-07-31 09:55:33","R_1Ol7xMI5KKhNFZm","","","","","Anonymized","Anonymized","anonymous","EN","1","5b15d20c444cef0001cb1153","2","2","2","4","locations","autopilot, self driving, vision, sensors, future, autonomy ","1","5","51","""Full Self-Driving Capability""","","1","","7","","38","4","","1","33","5b15d20c444cef0001cb1153","1"
"2023-07-31 09:31:37","2023-07-31 09:55:46","0","Anonymized","100","1449","1","2023-07-31 09:55:47","R_2w1vzdr9rgUOesE","","","","","Anonymized","Anonymized","anonymous","EN","1","644087beeb531ba7b10ae320","2","2","2","4","Locations","Autopilot, Navigate, Smart Summon, Auto Steer, Parking Lot, Lane Change, Sensor, Cameras, Self-driving, Future of Driving, 40X","1","6","19","I believe it was mentioned several times.  Somewhere toward the beginnin, in the middle and towards the end.","","2","","3","","69","4","","1","65","644087beeb531ba7b10ae320","1"
"2023-07-31 09:44:58","2023-07-31 09:56:51","0","Anonymized","100","713","1","2023-07-31 09:56:52","R_798GjbmFYbUKKDD","","","","","Anonymized","Anonymized","anonymous","EN","1","6475208cd6045ed7c2e281ab","2","2","2","4","Locations","models, solar sunroof, side collision warning, steering, automatic, braking, take you home, check your schedule, navigate a parking spot, in-lane","1","2","30","I don't recall exactly, but I know I read the statement.","","2","","3","","71","4","","1","21","6475208cd6045ed7c2e281ab","1"
"2023-07-31 09:45:53","2023-07-31 09:57:26","0","Anonymized","100","693","1","2023-07-31 09:57:27","R_1ewSHkGPZ9x4P2B","","","","","Anonymized","Anonymized","anonymous","EN","1","63a265dfb79aeca7ea438f4a","2","2","2","4","Locations","Join the team","2","","","","4","1","","3","","56","5","","1","51","63a265dfb79aeca7ea438f4a","1"
"2023-07-31 09:45:48","2023-07-31 09:57:42","0","Anonymized","100","714","1","2023-07-31 09:57:43","R_3h5tMyEdprjmXcN","","","","","Anonymized","Anonymized","anonymous","EN","1","63a3374363c3837a6b9caee4","2","2","2","4","Locations","Join the team","2","","","","4","1","","3","","56","5","","1","50","63a3374363c3837a6b9caee4","1"
"2023-07-31 09:35:11","2023-07-31 09:57:49","0","Anonymized","100","1357","1","2023-07-31 09:57:50","R_3dZl3lMRZuydrTA","","","","","Anonymized","Anonymized","anonymous","EN","1","644153e98cfd7f44f61c1d1c","2","2","2","1","Limitation ","Self driving ","1","2","51","I don't remember exactly where it was","","2","","3","","48","8","Associates ","2","19","644153e98cfd7f44f61c1d1c","1"
"2023-07-31 09:47:05","2023-07-31 09:57:57","0","Anonymized","100","652","1","2023-07-31 09:57:58","R_3PG2qYc3L630c4B","","","","","Anonymized","Anonymized","anonymous","EN","1","5596f7bdfdf99b4a8bd2d49f","2","2","2","2","Locations","Tesla Autopilot, Maximum distance 250M","2","","","","3","1","","1","","24","4","","1","26","5596f7bdfdf99b4a8bd2d49f","1"
"2023-07-31 09:45:50","2023-07-31 09:57:59","0","Anonymized","100","729","1","2023-07-31 09:58:00","R_VVdgTmQW7ogV3Pz","","","","","Anonymized","Anonymized","anonymous","EN","1","63ecfdaaab08d13d8a00db85","2","2","2","4","Locations","Join the team","2","","","","4","1","","1","","24","4","","1","61","63ecfdaaab08d13d8a00db85","1"
"2023-07-31 09:34:39","2023-07-31 09:58:12","0","Anonymized","100","1413","1","2023-07-31 09:58:12","R_pnMRItazxa0DGDv","","","","","Anonymized","Anonymized","anonymous","EN","1","63a4c930cad013279a39566c","2","2","2","4","Careers","Self-driving, auto pilot, park for you, sensor","1","4","84","I believe that’s when it first says auto pilot at the very beginning. Also, at the end and throughout the page it talks about what the car does by itself, but it also mentions,( and I don’t remember the exact spot) that all of this is supervised by the driver.","","2","","5","","58","4","","1","20","63a4c930cad013279a39566c","1"
"2023-07-31 09:47:45","2023-07-31 09:58:17","0","Anonymized","100","632","1","2023-07-31 09:58:18","R_2v0pQWniizz2hIZ","","","","","Anonymized","Anonymized","anonymous","EN","1","646d53d90b1b0ceddb776f59","2","1","1","4","Locations","Tesla, automatic, front view cameras, rear view cameras, parking, calendar, automated, self-driving","1","6","33","It is what’s described throughout the entire website.","","2","","3","","48","3","","1","56","646d53d90b1b0ceddb776f59","1"
"2023-07-31 09:41:22","2023-07-31 09:59:18","0","Anonymized","100","1075","1","2023-07-31 09:59:18","R_uk8MvYZA1Kdidr3","","","","","Anonymized","Anonymized","anonymous","EN","1","5f4cd10836de2f02dbab436c","2","2","2","4","Locations","Autopilot. Driver. Directions. Accuracy. ","2","","","","4","2","","3","","45","1","","2","3","5f4cd10836de2f02dbab436c","1"
"2023-07-31 09:43:46","2023-07-31 09:59:31","0","Anonymized","100","945","1","2023-07-31 09:59:31","R_3HObhie1idGA4cl","","","","","Anonymized","Anonymized","anonymous","EN","1","594d7e56ad2ce90001b8792a","2","2","3","2","location","Full Self-Driving Capability,Autopilot","1","2","68","Just before Tesla vision","","1","","1","","46","4","","1","65","594d7e56ad2ce90001b8792a","1"
"2023-07-31 09:42:19","2023-07-31 10:00:10","0","Anonymized","100","1071","1","2023-07-31 10:00:11","R_1rMvEapG388uMD0","","","","","Anonymized","Anonymized","anonymous","EN","1","602c7d31733e6a57dda83b9d","2","2","2","2","Locations","Full self driving capability","2","","","","6","1","","3","","49","3","","1","36","602c7d31733e6a57dda83b9d","1"
"2023-07-31 09:33:33","2023-07-31 10:00:19","0","Anonymized","100","1606","1","2023-07-31 10:00:20","R_Td2WeyeoQ9ughcl","","","","","Anonymized","Anonymized","anonymous","EN","1","5f514708067fba172909261a","2","2","1","2","limitations ","Ai","1","6","75","Not sure ","","2","","1","","43","1","","1","31","5f514708067fba172909261a","1"
"2023-07-31 09:41:56","2023-07-31 10:00:37","0","Anonymized","100","1120","1","2023-07-31 10:00:37","R_3I3ri0K3d6Jhgzc","","","","","Anonymized","Anonymized","anonymous","EN","1","5e14c66ffa3d10ad0f173dc8","2","2","2","4","locations","join the team, front collision warning, side collision warning","2","","","","4","2","","3","","68","4","","1","3","5e14c66ffa3d10ad0f173dc8","1"
"2023-07-31 09:44:59","2023-07-31 10:01:36","0","Anonymized","100","996","1","2023-07-31 10:01:36","R_6xwUr2BCgsnuVj3","","","","","Anonymized","Anonymized","anonymous","EN","1","646774e0f86825ab62c37581","2","2","1","4","Locations","Tesla driving, autopilot, autosteer, self driving, join the team, summon,","1","6","0","The video content on the website showed level 6 automation. The man seated at the front did not drive the car at any point.","","1","","3","","50","4","","1","70","646774e0f86825ab62c37581","0"
"2023-07-31 09:54:27","2023-07-31 10:02:39","0","Anonymized","100","491","1","2023-07-31 10:02:39","R_1XndlD3LkuBKTFn","","","","","Anonymized","Anonymized","anonymous","EN","1","60fe326ef1dbd49c6bcce651","2","2","2","4","locations","autopiolet, autosteering","1","6","20","On the first page, and knowledge already known.","","2","","3","","22","4","","1","50","60fe326ef1dbd49c6bcce651","1"
"2023-07-31 09:44:46","2023-07-31 10:04:33","0","Anonymized","100","1186","1","2023-07-31 10:04:34","R_3sAZZW2BxE6yGAP","","","","","Anonymized","Anonymized","anonymous","EN","1","5c510b41e459660001e38861","2","2","2","3","Locations","Future of Driving,smart summons more complex,tesla autopilot,auto steer,lane change,","1","5","65","Level of automation and driving functions","","2","","3","","66","4","","1","20","5c510b41e459660001e38861","1"
"2023-07-31 09:43:00","2023-07-31 10:09:31","0","Anonymized","100","1590","1","2023-07-31 10:09:31","R_2q49vpJ02xvNlmi","","","","","Anonymized","Anonymized","anonymous","EN","1","5e2c7806bb1a6e000cf7f2e8","2","2","2","4","Locations ","I watched a autopilot driving coarse, it was interesting. It preformed well, I like that it was capable of finding a parking spot. I read some information about Tesla, how the cameras can see all around. ","2","","","","5","1","","1","","45","1","","2","25","5e2c7806bb1a6e000cf7f2e8","1"
"2023-07-31 09:51:38","2023-07-31 10:15:06","0","Anonymized","100","1408","1","2023-07-31 10:15:06","R_W3sWdvtEpctP0iJ","","","","","Anonymized","Anonymized","anonymous","EN","1","63d1fc3f9823ab50782dfaf6","2","2","2","4","Locations","Processing power increased 40x, can pick you up at a location and drop you off.  Can look at the calendar if you don't give instructions where to go. Rear view camera 50m. Eight cameras for 360 degrees vision.","1","5","62","There is a part where it says that processing power is increased 40x.  I understand that little by little, the autopilots automation level is being increased. ","","2","","4","","55","4","","1","31","63d1fc3f9823ab50782dfaf6","1"
"2023-07-31 10:16:31","2023-07-31 10:24:49","0","Anonymized","100","498","1","2023-07-31 10:24:50","R_1nTQqlPKC8Z6yKF","","","","","Anonymized","Anonymized","anonymous","EN","1","62d86c63e2966588c71b9ff2","2","2","2","4","Locations","future of driving
autopilot
processing power
Tesla Vision
Self driving  ","2","","","","6","1","","3","","43","3","","1","10","62d86c63e2966588c71b9ff2","0"
"2023-07-31 10:02:28","2023-07-31 10:30:35","0","Anonymized","100","1686","1","2023-07-31 10:30:35","R_3qs6ZqCR6hMXIyy","","","","","Anonymized","Anonymized","anonymous","EN","1","5efc24acc8e96b1e45596223","2","2","1","3","locations","self driving capacity, smart summon","1","4","62","I thought the tesla in the autopilot automation level should be cleared in the way of the work activity in the regular time mangement","","1","","3","","30","5","","1","60","5efc24acc8e96b1e45596223","1"
"2023-07-31 10:37:29","2023-07-31 10:47:05","0","Anonymized","100","575","1","2023-07-31 10:47:06","R_3jcb3MHYxa966ip","","","","","Anonymized","Anonymized","anonymous","EN","1","6287d1278f5285de4c237d50","2","2","2","4","Locations","Neural network, summon car, park, cameras, driving, steer, autosteer","1","4","75","It's somewhat confusing. In one section of the site it says that full automation will be achieved in the future, that makes me think it's not possible now, although the page basically covers everything that would make the car fully AI.","","1","","3","","33","1","","1","10","6287d1278f5285de4c237d50","1"
